Sembol	Piyasa Değeri	Defter Değeri	Toplam Hisse Sayısı	Net Kar (Son 4Ç)	EPS
KFEIN	1716275000.00	802043488.00	19750000.00	154840813.00	8.00
KGYO	3006207284.84	1792032837.00	61426385.06	746434280.00	12.00
KIMMR	2457600000.00	2682073169.00	240000000.00	618858750.00	3.00
KLGYO	6556500000.00	16774723000.00	1395000000.00	251733000.00	0.18
KLKIM	13478000000.00	3775940642.00	460000000.00	982624870.00	2.00
KLMSN	2051280000.00	3277316712.00	79200000.00	-87382302.00	-1.00
KLNMA	84700000000.00	18267772000.00	5500000000.00	5487813000.00	1.00
KLRHO	46767500000.00	19346633000.00	1625000000.00	3711082000.00	2.00
KLSER	17584839043.02	7933094443.00	514778660.51	-2570645974.00	-5.00
KLSYN	2321038610.08	1856854348.00	431419816.00	118936666.00	0.28
KMPUR	9296144000.00	2915776714.00	486200000.00	-488203020.00	-1.00
KNFRT	2882880000.00	1427966312.00	264000000.00	122176505.00	0.46
KOCMT	7088900000.00	9309555336.00	455000000.00	-132478029.00	-0.29
KONKA	5106400000.00	6418347635.00	130000000.00	632416848.00	5.00
KONTR	31356000000.00	4773803208.00	650000000.00	480110944.00	0.74
KONYA	34345568400.00	3103224035.00	4873440.00	226324465.00	46.00
KOPOL	7154896000.00	3636998645.00	216160000.00	319126039.00	1.00
KORDS	13879649572.60	14015866736.00	194529076.00	-90567284.00	-0.47
KOTON	15962466000.00	7194598116.00	829650000.00	1078289473.00	1.00
KOZAA	27437256000.00	15477467000.00	388080000.00	30955000.00	0.08
KOZAL	66804150000.00	27828815000.00	3202500000.00	2408879000.00	0.75
KRDMA	6396883060.17	48321043567.00	240303646.14	2388461571.00	10.00
KRDMB	2616400713.71	48321043567.00	119470352.22	2388461571.00	20.00
KRDMD	20956870404.02	48321043567.00	780226001.64	2388461571.00	3.00
KRGYO	2439360000.00	1114355606.00	66000000.00	240345475.00	4.00
KRONT	2027270327.04	374872246.00	85611078.00	38814454.00	0.45
KRPLS	1342674000.00	752551548.00	174600000.00	-30655346.00	-0.18
KRSTL	1115520000.00	1074423843.00	192000000.00	78574305.00	0.41
KRTEK	1005980284.92	1365916524.00	35100498.43	-351763035.00	-10.00
KRVGD	4773600000.00	5013991000.00	2160000000.00	257177000.00	0.12
KSTUR	12723148423.42	479167875.00	4244586.63	183653443.00	43.00
KTLEV	10737000000.00	3384288885.00	180000000.00	1628617081.00	9.00
KTSKR	2921000000.00	4028066885.00	46000000.00	349056460.00	8.00
KUTPO	3059622720.00	2920957191.00	39916800.00	293099059.00	7.00
KUVVA	1831478431.88	575589335.00	31042007.32	77014757.00	2.00
KUYAS	6828000000.00	1786337282.00	400000000.00	490602360.00	1.00
KZBGY	9684000000.00	15646873308.00	300000000.00	2668714438.00	9.00
KZGYO	4732000000.00	10992008149.00	200000000.00	-1297462544.00	-6.00
LIDER	20559000000.00	5048709019.00	165000000.00	367593279.00	2.00
LIDFA	1669496400.00	1649818000.00	558360000.00	617015000.00	1.00
LILAK	15847400000.00	11096887000.00	590000000.00	1156261000.00	2.00
LINK	5819000000.00	196727205.00	11000000.00	31964435.00	3.00
LKMNH	3663360000.00	1736516379.00	216000000.00	530112595.00	2.00
LMKDC	13090317192.00	3884258352.00	516179700.00	1234838170.00	2.00
LOGO	11030000000.00	2575437000.00	100000000.00	334368000.00	3.00
LRSHO	1889280000.00	4499012000.00	768000000.00	1132969000.00	1.00
LUKSK	2546600000.00	1107535908.00	28000000.00	263054399.00	9.00
